Date,Population_Data,Regression_Data,LSTM_Data
2035-05-01,,,3182.274
2035-06-01,,,3182.4502
2035-07-01,,,3182.6226
2035-08-01,,,3182.7896
2035-09-01,,,3182.9534
2035-10-01,,,3183.1125
2035-11-01,,,3183.2678
2035-12-01,,,3183.4192
2036-01-01,,3305.8408316872083,3183.5662
2036-02-01,,,3183.7097
2036-03-01,,,3183.8499
2036-04-01,,,3183.9863
2036-05-01,,,3184.1191
2036-06-01,,,3184.249
2036-07-01,,,3184.375
2036-08-01,,,3184.4983
2036-09-01,,,3184.6177
2036-10-01,,,3184.735
2036-11-01,,,3184.849
2036-12-01,,,3184.96
2037-01-01,,3407.0625514965504,3185.068
2037-02-01,,,3185.1736
2037-03-01,,,3185.2761
2037-04-01,,,3185.3765
2037-05-01,,,3185.4736
2037-06-01,,,3185.5693
2037-07-01,,,3185.6616
2037-08-01,,,3185.7517
2037-09-01,,,3185.84
2037-10-01,,,3185.9255
2037-11-01,,,3186.009
2037-12-01,,,3186.0906
2038-01-01,,3509.882574234158,3186.1697
2038-02-01,,,3186.247
2038-03-01,,,3186.3223
2038-04-01,,,3186.3955
2038-05-01,,,3186.4675
2038-06-01,,,3186.537
2038-07-01,,,3186.6045
2038-08-01,,,3186.671
2038-09-01,,,3186.7356
2038-10-01,,,3186.798
2038-11-01,,,3186.8596
2038-12-01,,,3186.9197
2039-01-01,,3614.300899901893,3186.9773
2039-02-01,,,3187.034
2039-03-01,,,3187.0894
2039-04-01,,,3187.1436
2039-05-01,,,3187.1958
2039-06-01,,,3187.2468
2039-07-01,,,3187.2969
2039-08-01,,,3187.3457
2039-09-01,,,3187.3928
2039-10-01,,,3187.439
2039-11-01,,,3187.484
2039-12-01,,,3187.527
2040-01-01,,3720.317528496962,3187.5703
2040-02-01,,,3187.6118
2040-03-01,,,3187.6523
2040-04-01,,,3187.692
2040-05-01,,,3187.7302
2040-06-01,,,3187.7676
2040-07-01,,,3187.8042
2040-08-01,,,3187.84
2040-09-01,,,3187.8748
2040-10-01,,,3187.9092
2040-11-01,,,3187.9421
2040-12-01,,,3187.9746
2041-01-01,,3827.932460022159,3188.0059
2041-02-01,,,3188.0364
2041-03-01,,,3188.066
2041-04-01,,,3188.0952
2041-05-01,,,3188.1235
2041-06-01,,,3188.1506
2041-07-01,,,3188.178
2041-08-01,,,3188.204
2041-09-01,,,3188.229
2041-10-01,,,3188.2542
2041-11-01,,,3188.2786
2041-12-01,,,3188.3013
2042-01-01,,3937.1456944746897,3188.3252
2042-02-01,,,3188.347
2042-03-01,,,3188.369
2042-04-01,,,3188.3901
2042-05-01,,,3188.4104
2042-06-01,,,3188.4307
2042-07-01,,,3188.4504
2042-08-01,,,3188.469
2042-09-01,,,3188.4878
2042-10-01,,,3188.5059
2042-11-01,,,3188.5234
2042-12-01,,,3188.541
2043-01-01,,4047.957231857348,3188.5576
2043-02-01,,,3188.5742
2043-03-01,,,3188.59
2043-04-01,,,3188.6055
2043-05-01,,,3188.6208
2043-06-01,,,3188.636
2043-07-01,,,3188.6501
2043-08-01,,,3188.6638
2043-09-01,,,3188.6777
2043-10-01,,,3188.6912
2043-11-01,,,3188.7039
2043-12-01,,,3188.7166
2044-01-01,,4160.367072168272,3188.729
2044-02-01,,,3188.741
2044-03-01,,,3188.7524
2044-04-01,,,3188.764
2044-05-01,,,3188.7754
2044-06-01,,,3188.786
2044-07-01,,,3188.7966
2044-08-01,,,3188.8066
2044-09-01,,,3188.817
2044-10-01,,,3188.8262
2044-11-01,,,3188.836
2044-12-01,,,3188.845
2045-01-01,,4274.375215408392,3188.8538
2045-02-01,,,3188.863
2045-03-01,,,3188.8716
2045-04-01,,,3188.88
2045-05-01,,,3188.8877
2045-06-01,,,3188.8958
2045-07-01,,,3188.9036
2045-08-01,,,3188.9111
2045-09-01,,,3188.919
2045-10-01,,,3188.9255
2045-11-01,,,3188.9329
2045-12-01,,,3188.9395
2046-01-01,,4389.981661576312,3188.9458
2046-02-01,,,3188.9526
2046-03-01,,,3188.9585
2046-04-01,,,3188.9646
2046-05-01,,,3188.9705
2046-06-01,,,3188.9766
2046-07-01,,,3188.9822
2046-08-01,,,3188.9875
2046-09-01,,,3188.993
2046-10-01,,,3188.9983
2046-11-01,,,3189.0037
2046-12-01,,,3189.008
2047-01-01,,4507.18641067436,3189.013
2047-02-01,,,3189.0178
2047-03-01,,,3189.0222
2047-04-01,,,3189.0269
2047-05-01,,,3189.031
2047-06-01,,,3189.0352
2047-07-01,,,3189.0398
2047-08-01,,,3189.0432
2047-09-01,,,3189.0474
2047-10-01,,,3189.0515
2047-11-01,,,3189.0552
2047-12-01,,,3189.0588
2048-01-01,,4625.989462700207,3189.0623
2048-02-01,,,3189.0662
2048-03-01,,,3189.0698
2048-04-01,,,3189.073
2048-05-01,,,3189.0764
2048-06-01,,,3189.0793
2048-07-01,,,3189.0825
2048-08-01,,,3189.0857
2048-09-01,,,3189.0884
2048-10-01,,,3189.0916
2048-11-01,,,3189.0945
2048-12-01,,,3189.097
2049-01-01,,4746.390817654785,3189.0999
2049-02-01,,,3189.102
2049-03-01,,,3189.1045
2049-04-01,,,3189.1067
2049-05-01,,,3189.109
2049-06-01,,,3189.111
2049-07-01,,,3189.1133
2049-08-01,,,3189.1152
2049-09-01,,,3189.1174
2049-10-01,,,3189.1194
2049-11-01,,,3189.1216
2049-12-01,,,3189.1233
2050-01-01,,4868.390475539025,3189.1252
2050-02-01,,,3189.1272
2050-03-01,,,3189.1287
2050-04-01,,,3189.1306
2050-05-01,,,3189.1326
2050-06-01,,,3189.1345
2050-07-01,,,3189.136
2050-08-01,,,3189.1372
2050-09-01,,,3189.139
2050-10-01,,,3189.1406
2050-11-01,,,3189.1418
2050-12-01,,,3189.143
2051-01-01,,4991.98843635153,3189.1445
2051-02-01,,,3189.146
2051-03-01,,,3189.1475
2051-04-01,,,3189.1487
2051-05-01,,,3189.1497
2051-06-01,,,3189.151
2051-07-01,,,3189.1526
2051-08-01,,,3189.1536
2051-09-01,,,3189.155
2051-10-01,,,3189.1562
2051-11-01,,,3189.1572
2051-12-01,,,3189.158
2052-01-01,,5117.184700093698,3189.1592
2052-02-01,,,3189.1602
2052-03-01,,,3189.1611
2052-04-01,,,3189.1619
2052-05-01,,,3189.1628
2052-06-01,,,3189.1638
2052-07-01,,,3189.1643
2052-08-01,,,3189.1653
2052-09-01,,,3189.166
2052-10-01,,,3189.1672
2052-11-01,,,3189.168
2052-12-01,,,3189.169
2053-01-01,,5243.979266763199,3189.1697
2053-02-01,,,3189.17
2053-03-01,,,3189.1711
2053-04-01,,,3189.1716
2053-05-01,,,3189.1726
2053-06-01,,,3189.1733
2053-07-01,,,3189.174
2053-08-01,,,3189.1746
2053-09-01,,,3189.1753
2053-10-01,,,3189.1763
2053-11-01,,,3189.1765
2053-12-01,,,3189.1775
